Sequence,Date of Collection,Clade
seq_3575,2021-10-20,21J (Delta)
seq_3576,2021-10-21,21J (Delta)
seq_3577,2021-10-20,21J (Delta)
seq_3578,2021-10-21,21J (Delta)
seq_3579,2021-10-23,21J (Delta)
seq_3580,2021-10-22,21J (Delta)
seq_3581,2021-10-24,21J (Delta)
seq_3582,2021-10-21,21J (Delta)
seq_3583,2021-10-19,21J (Delta)
seq_3584,2021-10-24,21I (Delta)
seq_3585,2021-10-22,21J (Delta)
seq_3586,2021-10-19,21J (Delta)
seq_3587,2021-10-22,21J (Delta)
seq_3588,2021-10-21,21J (Delta)
seq_3589,2021-10-20,21J (Delta)
seq_3590,2021-10-22,21J (Delta)
seq_3591,2021-10-19,21J (Delta)
seq_3592,2021-10-19,21J (Delta)
seq_3593,2021-10-19,21J (Delta)
seq_3594,2021-10-23,21J (Delta)
seq_3595,2021-10-21,21J (Delta)
seq_3596,2021-10-23,21J (Delta)
seq_3597,2021-10-19,21J (Delta)
seq_3598,2021-10-19,21J (Delta)
seq_3599,2021-10-18,21I (Delta)
seq_3600,2021-10-22,21J (Delta)
seq_3601,2021-10-22,21J (Delta)
seq_3602,2021-10-20,21J (Delta)
seq_3603,2021-10-22,21J (Delta)
seq_3604,2021-10-22,21J (Delta)
seq_3605,2021-10-18,21I (Delta)
seq_3606,2021-10-21,21J (Delta)
seq_3607,2021-10-20,21J (Delta)
seq_3608,2021-10-21,21J (Delta)
seq_3609,2021-10-20,21J (Delta)
seq_3610,2021-10-19,21J (Delta)
seq_3611,2021-10-22,21J (Delta)
seq_3612,2021-10-18,21J (Delta)
seq_3613,2021-10-21,21J (Delta)
seq_3614,2021-10-20,21J (Delta)
seq_3615,2021-10-19,21J (Delta)
seq_3616,2021-10-20,21J (Delta)
seq_3617,2021-10-22,21J (Delta)
seq_3618,2021-10-20,21J (Delta)
seq_3619,2021-10-18,21J (Delta)
seq_3620,2021-10-19,21J (Delta)
seq_3621,2021-10-22,21J (Delta)
seq_3622,2021-10-20,21J (Delta)
seq_3623,2021-10-22,21J (Delta)
seq_3624,2021-10-20,21J (Delta)
seq_3625,2021-10-21,21J (Delta)
seq_3626,2021-10-20,21J (Delta)
seq_3627,2021-10-21,21J (Delta)
seq_3628,2021-10-22,21J (Delta)
seq_3629,2021-10-22,21J (Delta)
seq_3630,2021-10-21,21J (Delta)
seq_3631,2021-10-24,21J (Delta)
seq_3632,2021-10-22,21J (Delta)
seq_3633,2021-10-21,21J (Delta)
seq_3634,2021-10-20,21J (Delta)
seq_3635,2021-10-23,21J (Delta)
seq_3636,2021-10-22,21J (Delta)
seq_3637,2021-10-19,21J (Delta)
seq_3638,2021-10-18,21J (Delta)
seq_3639,2021-10-18,21I (Delta)
seq_3640,2021-10-18,21J (Delta)
seq_3641,2021-10-22,21J (Delta)
seq_3642,2021-10-20,21J (Delta)
seq_3643,2021-10-20,21J (Delta)
seq_3644,2021-10-21,21J (Delta)
seq_3645,2021-10-21,21J (Delta)
seq_3646,2021-10-19,21J (Delta)
seq_3647,2021-10-19,21J (Delta)
seq_3648,2021-10-18,21J (Delta)
seq_3649,2021-10-21,21J (Delta)
seq_3650,2021-10-20,21J (Delta)
seq_3651,2021-10-18,21J (Delta)
seq_3652,2021-10-21,21J (Delta)
seq_3653,2021-10-18,21J (Delta)
seq_3654,2021-10-19,21J (Delta)
seq_3655,2021-10-21,21J (Delta)
seq_3656,2021-10-20,21I (Delta)
seq_3657,2021-10-20,21J (Delta)
seq_3658,2021-10-22,21J (Delta)
seq_3659,2021-10-21,21J (Delta)
seq_3660,2021-10-21,21J (Delta)
seq_3661,2021-10-19,21J (Delta)
seq_3662,2021-10-21,21J (Delta)
seq_3663,2021-10-24,21J (Delta)
seq_3664,2021-10-21,21J (Delta)
seq_3665,2021-10-20,21J (Delta)
seq_3666,2021-10-22,21J (Delta)
seq_3667,2021-10-22,21J (Delta)
seq_3668,2021-10-20,21J (Delta)
seq_3669,2021-10-19,21J (Delta)
seq_3670,2021-10-18,21J (Delta)
seq_3671,2021-10-20,21J (Delta)
seq_3672,2021-10-22,21J (Delta)
seq_3673,2021-10-21,21J (Delta)
seq_3674,2021-10-22,21J (Delta)
seq_3675,2021-10-21,21J (Delta)
seq_3676,2021-10-20,21J (Delta)
seq_3677,2021-10-20,21J (Delta)
seq_3678,2021-10-22,21J (Delta)
seq_3679,2021-10-24,21J (Delta)
seq_3680,2021-10-23,21J (Delta)
seq_3681,2021-10-20,21J (Delta)
seq_3682,2021-10-20,21J (Delta)
seq_3683,2021-10-21,21J (Delta)
seq_3684,2021-10-19,21J (Delta)
seq_3685,2021-10-20,21J (Delta)
seq_3686,2021-10-22,21J (Delta)
seq_3687,2021-10-19,21J (Delta)
seq_3688,2021-10-22,21J (Delta)
seq_3689,2021-10-21,21J (Delta)
seq_3690,2021-10-22,21J (Delta)
seq_3691,2021-10-21,21J (Delta)
seq_3692,2021-10-20,21J (Delta)
seq_3693,2021-10-23,21J (Delta)
seq_3694,2021-10-22,21J (Delta)
seq_3695,2021-10-22,21J (Delta)
seq_3696,2021-10-18,21J (Delta)
seq_3697,2021-10-20,21J (Delta)
seq_3698,2021-10-24,21J (Delta)
seq_3699,2021-10-20,21J (Delta)
seq_3700,2021-10-20,21J (Delta)
seq_3701,2021-10-19,21J (Delta)
seq_3702,2021-10-21,21J (Delta)
seq_3703,2021-10-21,21J (Delta)
seq_3704,2021-10-22,21J (Delta)
seq_3705,2021-10-22,21J (Delta)
seq_3706,2021-10-21,21J (Delta)
seq_3707,2021-10-21,21J (Delta)
seq_3708,2021-10-18,21J (Delta)
seq_3709,2021-10-20,21J (Delta)
seq_3710,2021-10-19,21J (Delta)
seq_3711,2021-10-18,21I (Delta)
seq_3712,2021-10-22,21J (Delta)
seq_3713,2021-10-21,21J (Delta)
seq_3714,2021-10-21,21J (Delta)
seq_3715,2021-10-22,21J (Delta)
seq_3716,2021-10-21,21J (Delta)
seq_3717,2021-10-22,21J (Delta)
seq_3718,2021-10-22,21J (Delta)
seq_3719,2021-10-21,21J (Delta)
seq_3720,2021-10-20,21J (Delta)
seq_3721,2021-10-20,21J (Delta)
seq_3722,2021-10-22,21J (Delta)
seq_3723,2021-10-21,21J (Delta)
seq_3724,2021-10-21,21J (Delta)
seq_3725,2021-10-21,21J (Delta)
seq_3726,2021-10-20,21J (Delta)
seq_3727,2021-10-24,21J (Delta)
seq_3728,2021-10-21,21J (Delta)
seq_3729,2021-10-21,21J (Delta)
seq_3730,2021-10-19,21J (Delta)
seq_3731,2021-10-19,21J (Delta)
seq_3732,2021-10-20,21J (Delta)
seq_3733,2021-10-20,21J (Delta)
seq_3734,2021-10-20,21J (Delta)
seq_3735,2021-10-20,21J (Delta)
seq_3736,2021-10-22,21J (Delta)
seq_3737,2021-10-21,21J (Delta)
seq_3738,2021-10-22,21J (Delta)
seq_3739,2021-10-19,21J (Delta)
seq_3740,2021-10-19,21J (Delta)
seq_3741,2021-10-22,21J (Delta)
seq_3742,2021-10-21,21J (Delta)
seq_3743,2021-10-21,21J (Delta)
seq_3744,2021-10-18,21J (Delta)
seq_3745,2021-10-20,21J (Delta)
seq_3746,2021-10-22,21I (Delta)
seq_3747,2021-10-19,21J (Delta)
seq_3748,2021-10-21,21J (Delta)
seq_3749,2021-10-21,21J (Delta)
seq_3750,2021-10-22,21J (Delta)
seq_3751,2021-10-19,21J (Delta)
seq_3752,2021-10-20,21J (Delta)
seq_3753,2021-10-22,21J (Delta)
seq_3754,2021-10-19,21J (Delta)
seq_3755,2021-10-22,21J (Delta)
seq_3756,2021-10-19,21J (Delta)
seq_3757,2021-10-19,21J (Delta)
seq_3758,2021-10-22,21J (Delta)
seq_3759,2021-10-18,21J (Delta)
seq_3760,2021-10-19,21J (Delta)
seq_3761,2021-10-21,21J (Delta)
seq_3762,2021-10-19,21J (Delta)
seq_3763,2021-10-14,21J (Delta)
seq_3764,2021-10-20,21J (Delta)
seq_3765,2021-10-19,21J (Delta)
seq_3766,2021-10-21,21J (Delta)
seq_3767,2021-10-21,21J (Delta)
seq_3768,2021-10-22,21J (Delta)
seq_3769,2021-10-22,21J (Delta)
seq_3770,2021-10-20,21J (Delta)
seq_3771,2021-10-22,21I (Delta)
seq_3772,2021-10-22,21J (Delta)
seq_3773,2021-10-21,21J (Delta)
seq_3774,2021-10-21,21J (Delta)
seq_3775,2021-10-23,21J (Delta)
seq_3776,2021-10-21,21J (Delta)
seq_3777,2021-10-21,21J (Delta)
seq_3778,2021-10-24,21J (Delta)
seq_3779,2021-10-22,21J (Delta)
seq_3780,2021-10-18,21J (Delta)
seq_3781,2021-10-20,21J (Delta)
seq_3782,2021-10-21,21J (Delta)
seq_3783,2021-10-22,21J (Delta)
seq_3784,2021-10-19,21J (Delta)
seq_3785,2021-10-20,21J (Delta)
seq_3786,2021-10-19,21J (Delta)
seq_3787,2021-10-29,21J (Delta)
seq_3788,2021-10-25,21J (Delta)
seq_3789,2021-10-27,21J (Delta)
seq_3790,2021-10-31,21J (Delta)
seq_3791,2021-10-28,21J (Delta)
seq_3792,2021-10-29,21J (Delta)
seq_3793,2021-10-31,21J (Delta)
seq_3794,2021-10-29,21J (Delta)
seq_3795,2021-10-28,21J (Delta)
seq_3796,2021-10-29,21J (Delta)
seq_3797,2021-10-28,21J (Delta)
seq_3798,2021-10-30,21J (Delta)
seq_3799,2021-10-28,21J (Delta)
seq_3800,2021-10-25,21J (Delta)
seq_3801,2021-10-25,21J (Delta)
seq_3802,2021-10-29,21J (Delta)
seq_3803,2021-10-28,21J (Delta)
seq_3804,2021-10-27,21J (Delta)
seq_3805,2021-10-28,21J (Delta)
seq_3806,2021-10-29,21J (Delta)
seq_3807,2021-10-25,21J (Delta)
seq_3808,2021-10-27,21J (Delta)
seq_3809,2021-10-25,21J (Delta)
seq_3810,2021-10-29,21J (Delta)
seq_3811,2021-10-29,21J (Delta)
seq_3812,2021-10-19,21J (Delta)
seq_3813,2021-10-30,21I (Delta)
seq_3814,2021-10-25,21J (Delta)
seq_3815,2021-10-31,21J (Delta)
seq_3816,2021-10-28,21J (Delta)
seq_3817,2021-10-27,21J (Delta)
seq_3818,2021-10-25,21J (Delta)
seq_3819,2021-10-31,21J (Delta)
seq_3820,2021-10-30,21J (Delta)
seq_3821,2021-10-31,21J (Delta)
seq_3822,2021-10-25,21J (Delta)
seq_3823,2021-10-27,21J (Delta)
seq_3824,2021-10-25,21J (Delta)
seq_3825,2021-10-27,21J (Delta)
seq_3826,2021-10-27,21J (Delta)
seq_3827,2021-10-26,21J (Delta)
seq_3828,2021-10-28,21J (Delta)
seq_3829,2021-10-26,21J (Delta)
seq_3830,2021-10-25,21I (Delta)
seq_3831,2021-10-25,21J (Delta)
seq_3832,2021-10-29,21J (Delta)
seq_3833,2021-10-25,21J (Delta)
seq_3834,2021-10-27,21J (Delta)
seq_3835,2021-10-26,21J (Delta)
seq_3836,2021-10-25,21J (Delta)
seq_3837,2021-10-29,21J (Delta)
seq_3838,2021-10-27,21J (Delta)
seq_3839,2021-10-30,21J (Delta)
seq_3840,2021-10-29,21J (Delta)
seq_3841,2021-10-28,21J (Delta)
seq_3842,2021-10-28,21J (Delta)
seq_3843,2021-10-29,21J (Delta)
seq_3844,2021-10-31,21A (Delta)
seq_3845,2021-10-26,21I (Delta)
seq_3846,2021-10-25,21J (Delta)
seq_3847,2021-10-25,21J (Delta)
seq_3848,2021-10-25,21J (Delta)
seq_3849,2021-10-25,21J (Delta)
seq_3850,2021-10-28,21J (Delta)
seq_3851,2021-10-30,21J (Delta)
seq_3852,2021-10-29,21J (Delta)
seq_3853,2021-10-27,21J (Delta)
seq_3854,2021-10-28,21J (Delta)
seq_3855,2021-10-27,21J (Delta)
seq_3856,2021-10-27,21I (Delta)
seq_3857,2021-10-27,21J (Delta)
seq_3858,2021-10-27,21J (Delta)
seq_3859,2021-10-30,21J (Delta)
seq_3860,2021-10-25,21J (Delta)
seq_3861,2021-10-25,21J (Delta)
seq_3862,2021-10-25,21J (Delta)
seq_3863,2021-10-29,21J (Delta)
seq_3864,2021-10-28,21J (Delta)
seq_3865,2021-10-30,21J (Delta)
seq_3866,2021-10-27,21J (Delta)
seq_3867,2021-10-31,21J (Delta)
seq_3868,2021-10-26,21J (Delta)
seq_3869,2021-10-21,21J (Delta)
seq_3870,2021-10-28,21J (Delta)
seq_3871,2021-10-25,21J (Delta)
seq_3872,2021-10-25,21J (Delta)
seq_3873,2021-10-28,21J (Delta)
seq_3874,2021-10-29,21J (Delta)
seq_3875,2021-10-25,21J (Delta)
seq_3876,2021-10-31,21J (Delta)
seq_3877,2021-10-28,21J (Delta)
seq_3878,2021-10-28,21J (Delta)
seq_3879,2021-10-25,21J (Delta)
seq_3880,2021-10-29,21J (Delta)
seq_3881,2021-10-26,21J (Delta)
seq_3882,2021-10-27,21J (Delta)
seq_3883,2021-10-28,21J (Delta)
seq_3884,2021-10-28,21J (Delta)
seq_3885,2021-10-28,21J (Delta)
seq_3886,2021-10-28,21J (Delta)
seq_3887,2021-10-28,21J (Delta)
seq_3888,2021-10-29,21J (Delta)
seq_3889,2021-10-27,21J (Delta)
seq_3890,2021-10-28,21J (Delta)
seq_3891,2021-10-25,21J (Delta)
seq_3892,2021-10-25,21J (Delta)
seq_3893,2021-10-29,21J (Delta)
seq_3894,2021-10-29,21J (Delta)
seq_3895,2021-10-27,21J (Delta)
seq_3896,2021-10-28,21J (Delta)
seq_3897,2021-10-25,21J (Delta)
seq_3898,2021-10-25,21J (Delta)
seq_3899,2021-10-29,21J (Delta)
seq_3900,2021-10-29,21J (Delta)
seq_3901,2021-10-31,21J (Delta)
seq_3902,2021-10-26,21J (Delta)
seq_3903,2021-10-25,21J (Delta)
seq_3904,2021-10-25,21J (Delta)
seq_3905,2021-10-27,21J (Delta)
seq_3906,2021-10-31,21A (Delta)
seq_3907,2021-10-26,21J (Delta)
seq_3908,2021-10-25,21I (Delta)
seq_3909,2021-10-28,21J (Delta)
seq_3910,2021-10-27,21J (Delta)
seq_3911,2021-10-29,21J (Delta)
seq_3912,2021-10-28,21J (Delta)
seq_3913,2021-10-27,21J (Delta)
seq_3914,2021-10-27,21J (Delta)
seq_3915,2021-10-28,21J (Delta)
seq_3916,2021-10-26,21I (Delta)
seq_3917,2021-10-25,21I (Delta)
seq_3918,2021-10-29,21J (Delta)
seq_3919,2021-10-29,21J (Delta)
seq_3920,2021-10-25,21J (Delta)
seq_3921,2021-10-28,21J (Delta)
seq_3922,2021-10-29,21J (Delta)
seq_3923,2021-10-27,21J (Delta)
seq_3924,2021-10-29,21J (Delta)
seq_3925,2021-10-25,21J (Delta)
seq_3926,2021-10-29,21J (Delta)
seq_3927,2021-10-27,21J (Delta)
seq_3928,2021-10-28,21J (Delta)
seq_3929,2021-10-27,21J (Delta)
seq_3930,2021-10-27,21J (Delta)
seq_3931,2021-10-28,21J (Delta)
seq_3932,2021-10-28,21J (Delta)
seq_3933,2021-10-27,21J (Delta)
seq_3934,2021-10-30,21J (Delta)
seq_3935,2021-10-28,21J (Delta)
seq_3936,2021-10-25,21J (Delta)
seq_3937,2021-10-27,21J (Delta)
seq_3938,2021-10-27,21J (Delta)
seq_3939,2021-10-28,21J (Delta)
seq_3940,2021-10-28,21J (Delta)
seq_3941,2021-10-27,21J (Delta)
seq_3942,2021-10-22,21J (Delta)
seq_3943,2021-10-28,21J (Delta)
seq_3944,2021-10-25,21J (Delta)
seq_3945,2021-10-27,21J (Delta)
seq_3946,2021-10-27,21J (Delta)
seq_3947,2021-10-31,21J (Delta)
seq_3948,2021-10-27,21I (Delta)
seq_3949,2021-10-29,21J (Delta)
seq_3950,2021-10-30,21J (Delta)
seq_3951,2021-10-27,21J (Delta)
seq_3952,2021-10-27,21J (Delta)
seq_3953,2021-10-28,21J (Delta)
seq_3954,2021-10-29,21J (Delta)
seq_3955,2021-10-25,21J (Delta)
seq_3956,2021-10-28,21J (Delta)
seq_3957,2021-10-28,21J (Delta)
seq_3958,2021-10-27,21J (Delta)
seq_3959,2021-10-27,21J (Delta)
seq_3960,2021-10-25,21J (Delta)
seq_3961,2021-10-28,21J (Delta)
seq_3962,2021-10-27,21J (Delta)
seq_3963,2021-10-29,21I (Delta)
seq_3964,2021-10-27,21J (Delta)
seq_3965,2021-10-29,21J (Delta)
seq_3966,2021-10-27,21J (Delta)
seq_3967,2021-10-29,21J (Delta)
seq_3968,2021-10-28,21J (Delta)
seq_3969,2021-10-25,21J (Delta)
seq_3970,2021-10-25,21J (Delta)
seq_3971,2021-10-25,21J (Delta)
seq_3972,2021-10-29,21J (Delta)
seq_3973,2021-10-25,21J (Delta)
seq_3974,2021-10-31,21I (Delta)
seq_3975,2021-10-26,21J (Delta)
seq_3976,2021-10-28,21J (Delta)
seq_3977,2021-10-31,21J (Delta)
seq_3978,2021-10-26,21J (Delta)
seq_3979,2021-10-25,21J (Delta)
seq_3980,2021-10-25,21I (Delta)
seq_3981,2021-10-30,21J (Delta)
seq_3982,2021-10-25,21J (Delta)
seq_3983,2021-10-31,21J (Delta)
seq_3984,2021-10-27,21J (Delta)
seq_3985,2021-10-31,21J (Delta)
seq_3986,2021-10-29,21J (Delta)
seq_3987,2021-10-27,21J (Delta)
seq_3988,2021-10-27,21J (Delta)
seq_3989,2021-10-26,21J (Delta)
seq_3990,2021-10-28,21J (Delta)
seq_3991,2021-10-25,21J (Delta)
seq_3992,2021-10-31,21J (Delta)
seq_3993,2021-10-27,21J (Delta)
seq_3994,2021-10-25,21J (Delta)
seq_3995,2021-10-26,21J (Delta)
seq_3996,2021-10-29,21J (Delta)
seq_3997,2021-10-28,21J (Delta)
seq_3998,2021-10-30,21J (Delta)
seq_3999,2021-10-28,21J (Delta)
seq_4000,2021-10-25,21J (Delta)
seq_4001,2021-10-27,21J (Delta)
seq_4002,2021-10-28,21J (Delta)
seq_4003,2021-10-31,21J (Delta)
seq_4004,2021-10-25,21J (Delta)
seq_4005,2021-10-28,21J (Delta)
seq_4006,2021-10-31,21J (Delta)
seq_4007,2021-10-25,21J (Delta)
seq_4008,2021-10-27,21J (Delta)
seq_4009,2021-10-25,21J (Delta)
seq_4010,2021-10-29,21J (Delta)
seq_4011,2021-10-29,21J (Delta)
seq_4012,2021-10-31,21J (Delta)
seq_4013,2021-10-27,21J (Delta)
seq_4014,2021-10-26,21J (Delta)
seq_4015,2021-10-29,21J (Delta)
seq_4016,2021-10-27,21J (Delta)
seq_4017,2021-10-25,21J (Delta)
seq_4018,2021-10-28,21J (Delta)
seq_4019,2021-10-28,21J (Delta)
seq_4020,2021-10-25,21J (Delta)
seq_4021,2021-10-29,21J (Delta)
seq_4022,2021-10-31,21J (Delta)
seq_4023,2021-10-25,21J (Delta)
seq_4024,2021-10-31,21J (Delta)
seq_4025,2021-10-27,21I (Delta)
seq_4026,2021-10-28,21J (Delta)
seq_4027,2021-10-25,21J (Delta)
seq_4028,2021-10-27,21J (Delta)
seq_4029,2021-10-27,21J (Delta)
seq_4030,2021-10-27,21J (Delta)
seq_4031,2021-10-29,21J (Delta)
seq_4032,2021-10-27,21J (Delta)
seq_4033,2021-10-30,21J (Delta)
seq_4034,2021-10-25,21J (Delta)
seq_4035,2021-10-27,21J (Delta)
seq_4036,2021-10-29,21J (Delta)
seq_4037,2021-10-27,21J (Delta)
seq_4038,2021-10-31,21J (Delta)
seq_4039,2021-10-28,21J (Delta)
seq_4040,2021-10-26,21J (Delta)
seq_4041,2021-10-25,21J (Delta)
seq_4042,2021-10-25,21J (Delta)
seq_4043,2021-10-25,21J (Delta)
seq_4044,2021-10-29,21J (Delta)
seq_4045,2021-10-29,21J (Delta)
seq_4046,2021-10-28,21I (Delta)
seq_4047,2021-10-29,21J (Delta)
seq_4048,2021-10-25,21J (Delta)
seq_4049,2021-10-28,21J (Delta)
seq_4050,2021-10-28,21J (Delta)
seq_4051,2021-10-25,21J (Delta)
seq_4052,2021-10-31,21J (Delta)
seq_4053,2021-10-31,21I (Delta)
seq_4054,2021-10-28,21J (Delta)
seq_4055,2021-10-25,21J (Delta)
seq_4056,2021-10-25,21J (Delta)
seq_4057,2021-10-29,21J (Delta)
seq_4058,2021-10-28,21J (Delta)
seq_4059,2021-10-28,21J (Delta)
seq_4060,2021-10-29,21J (Delta)
seq_4061,2021-10-27,21J (Delta)
seq_4062,2021-10-25,21J (Delta)
seq_4063,2021-10-22,21J (Delta)
seq_4064,2021-10-25,21J (Delta)
seq_4065,2021-10-28,21J (Delta)
seq_4066,2021-10-24,21J (Delta)
seq_4067,2021-10-31,21J (Delta)
seq_4068,2021-10-27,21J (Delta)
seq_4069,2021-10-25,21J (Delta)
seq_4070,2021-10-26,21J (Delta)
seq_4071,2021-10-27,21J (Delta)
seq_4072,2021-10-31,21J (Delta)
seq_4073,2021-10-25,21J (Delta)
seq_4074,2021-10-25,21J (Delta)
seq_4075,2021-10-28,21J (Delta)
seq_4076,2021-10-27,21J (Delta)
seq_4077,2021-10-25,21J (Delta)
seq_4078,2021-10-31,21J (Delta)
seq_4079,2021-10-29,21J (Delta)
seq_4080,2021-10-29,21J (Delta)
seq_4081,2021-10-30,21J (Delta)
seq_4082,2021-10-25,21J (Delta)
seq_4083,2021-10-26,21J (Delta)
seq_4084,2021-10-25,21J (Delta)
seq_4085,2021-10-24,21J (Delta)
seq_4086,2021-10-29,21J (Delta)
seq_4087,2021-10-29,21J (Delta)
seq_4088,2021-10-27,21J (Delta)
seq_4089,2021-10-22,21J (Delta)
seq_4090,2021-10-28,21J (Delta)
seq_4091,2021-10-28,21J (Delta)
seq_4092,2021-10-25,21J (Delta)
seq_4093,2021-10-27,21J (Delta)
seq_4094,2021-10-29,21J (Delta)
seq_4095,2021-10-27,21J (Delta)
seq_4096,2021-10-25,21J (Delta)
seq_4097,2021-10-29,21J (Delta)
seq_4098,2021-10-28,21J (Delta)
seq_4099,2021-10-25,21I (Delta)
seq_4100,2021-10-28,21J (Delta)
seq_4101,2021-10-27,21J (Delta)
seq_4102,2021-10-29,21J (Delta)
seq_4103,2021-10-27,21A (Delta)
seq_4104,2021-10-27,21J (Delta)
seq_4105,2021-10-28,21J (Delta)
seq_4106,2021-10-28,21J (Delta)
seq_4107,2021-10-29,21J (Delta)
seq_4108,2021-10-29,21J (Delta)
seq_4109,2021-10-29,21J (Delta)
seq_4110,2021-10-31,21J (Delta)
seq_4111,2021-10-26,21I (Delta)
seq_4112,2021-10-27,21J (Delta)
seq_4113,2021-10-29,21J (Delta)
seq_4114,2021-10-25,21J (Delta)
seq_4115,2021-10-25,21J (Delta)
seq_4116,2021-10-29,21J (Delta)
seq_4117,2021-10-28,21J (Delta)
seq_4118,2021-10-29,21J (Delta)
seq_4119,2021-10-28,21J (Delta)
seq_4120,2021-10-31,21J (Delta)
seq_4121,2021-10-27,21J (Delta)
seq_4122,2021-10-28,21J (Delta)
seq_4123,2021-10-27,21J (Delta)
seq_4124,2021-10-28,21J (Delta)
seq_4125,2021-10-29,21J (Delta)
seq_4126,2021-10-28,21J (Delta)
seq_4127,2021-10-29,21J (Delta)
seq_4128,2021-10-25,21J (Delta)
seq_4129,2021-10-28,21J (Delta)
seq_4130,2021-10-22,21A (Delta)
seq_4131,2021-10-28,21J (Delta)
seq_4132,2021-10-31,21J (Delta)
seq_4133,2021-10-25,21J (Delta)
seq_4134,2021-10-25,21J (Delta)
seq_4135,2021-10-28,21J (Delta)
seq_4136,2021-10-25,21J (Delta)
seq_4137,2021-10-27,21J (Delta)
seq_4138,2021-10-29,21J (Delta)
seq_4139,2021-10-31,21J (Delta)
seq_4140,2021-10-29,21J (Delta)
seq_4141,2021-10-27,21J (Delta)
seq_4142,2021-10-25,21J (Delta)
seq_4143,2021-10-27,21I (Delta)
seq_4144,2021-10-22,21A (Delta)
seq_4145,2021-10-25,21J (Delta)
seq_4146,2021-10-25,21J (Delta)
seq_4147,2021-10-27,21J (Delta)
seq_4148,2021-10-26,21J (Delta)
seq_4149,2021-10-30,21J (Delta)
seq_4150,2021-10-31,21J (Delta)
seq_4151,2021-10-27,21J (Delta)
seq_4152,2021-10-29,21J (Delta)
seq_4153,2021-10-25,21J (Delta)
seq_4154,2021-10-25,21J (Delta)
seq_4155,2021-10-28,21J (Delta)
seq_4156,2021-10-27,21J (Delta)
seq_4157,2021-10-25,21J (Delta)
seq_4158,2021-10-29,21J (Delta)
seq_4159,2021-11-09,21J (Delta)
seq_4160,2021-11-09,21J (Delta)
seq_4161,2021-11-09,21J (Delta)
seq_4162,2021-11-11,21J (Delta)
seq_4163,2021-11-11,21J (Delta)
seq_4164,2021-11-10,21J (Delta)
seq_4165,2021-11-10,21J (Delta)
seq_4166,2021-11-09,21J (Delta)
seq_4167,2021-11-10,21J (Delta)
seq_4168,2021-11-11,21J (Delta)
seq_4169,2021-11-11,21J (Delta)
seq_4170,2021-11-08,21J (Delta)
seq_4171,2021-11-11,21J (Delta)
seq_4172,2021-11-10,21J (Delta)
seq_4173,2021-11-10,21J (Delta)
seq_4174,2021-11-11,21J (Delta)
seq_4175,2021-11-12,21J (Delta)
seq_4176,2021-11-10,21J (Delta)
seq_4177,2021-11-10,21J (Delta)
seq_4178,2021-11-11,21J (Delta)
seq_4179,2021-11-11,21J (Delta)
seq_4180,2021-11-09,21J (Delta)
seq_4181,2021-11-12,21J (Delta)
seq_4182,2021-11-08,21J (Delta)
seq_4183,2021-11-10,21J (Delta)
seq_4184,2021-11-09,21J (Delta)
seq_4185,2021-11-10,21J (Delta)
seq_4186,2021-11-09,21A (Delta)
seq_4187,2021-11-11,21J (Delta)
seq_4188,2021-11-10,21J (Delta)
seq_4189,2021-11-09,21J (Delta)
seq_4190,2021-11-12,21J (Delta)
seq_4191,2021-11-09,21J (Delta)
seq_4192,2021-11-08,21J (Delta)
seq_4193,2021-11-08,21J (Delta)
seq_4194,2021-11-10,21J (Delta)
seq_4195,2021-11-09,21J (Delta)
seq_4196,2021-11-10,21J (Delta)
seq_4197,2021-11-11,21J (Delta)
seq_4198,2021-11-09,21J (Delta)
seq_4199,2021-11-10,21J (Delta)
seq_4200,2021-11-08,21J (Delta)
seq_4201,2021-11-09,21J (Delta)
seq_4202,2021-11-11,21J (Delta)
seq_4203,2021-11-11,21J (Delta)
seq_4204,2021-11-11,21J (Delta)
seq_4205,2021-11-10,21J (Delta)
seq_4206,2021-11-11,21J (Delta)
seq_4207,2021-11-11,21J (Delta)
seq_4208,2021-11-11,21J (Delta)
seq_4209,2021-11-11,21J (Delta)
seq_4210,2021-11-09,21J (Delta)
seq_4211,2021-11-12,21J (Delta)
seq_4212,2021-11-12,21J (Delta)
seq_4213,2021-11-09,21J (Delta)
seq_4214,2021-11-09,21J (Delta)
seq_4215,2021-11-08,21J (Delta)
seq_4216,2021-11-10,21J (Delta)
seq_4217,2021-11-08,21J (Delta)
seq_4218,2021-11-12,21J (Delta)
seq_4219,2021-11-10,21J (Delta)
seq_4220,2021-11-08,21J (Delta)
seq_4221,2021-11-11,21J (Delta)
seq_4222,2021-11-10,21J (Delta)
seq_4223,2021-11-10,21J (Delta)
seq_4224,2021-11-10,21J (Delta)
seq_4225,2021-11-10,21J (Delta)
seq_4226,2021-11-11,21J (Delta)
seq_4227,2021-11-12,21J (Delta)
seq_4228,2021-11-08,21J (Delta)
seq_4229,2021-11-09,21J (Delta)
seq_4230,2021-11-09,21J (Delta)
seq_4231,2021-11-10,21J (Delta)
seq_4232,2021-11-11,21J (Delta)
seq_4233,2021-11-10,21J (Delta)
seq_4234,2021-11-12,21J (Delta)
seq_4235,2021-11-11,21J (Delta)
seq_4236,2021-11-10,21J (Delta)
seq_4237,2021-11-10,21J (Delta)
seq_4238,2021-11-09,21J (Delta)
seq_4239,2021-11-11,21I (Delta)
